01/01/2026,"-1.00","Bulk import row 1","0.00"
01/01/2026,"-2.00","Bulk import row 2","0.00"
01/01/2026,"-3.00","Bulk import row 3","0.00"
01/01/2026,"-4.00","Bulk import row 4","0.00"
01/01/2026,"-5.00","Bulk import row 5","0.00"
01/01/2026,"-6.00","Bulk import row 6","0.00"
01/01/2026,"-7.00","Bulk import row 7","0.00"
01/01/2026,"-8.00","Bulk import row 8","0.00"
01/01/2026,"-9.00","Bulk import row 9","0.00"
01/01/2026,"-10.00","Bulk import row 10","0.00"
01/01/2026,"-11.00","Bulk import row 11","0.00"
01/01/2026,"-12.00","Bulk import row 12","0.00"
01/01/2026,"-13.00","Bulk import row 13","0.00"
01/01/2026,"-14.00","Bulk import row 14","0.00"
01/01/2026,"-15.00","Bulk import row 15","0.00"
01/01/2026,"-16.00","Bulk import row 16","0.00"
01/01/2026,"-17.00","Bulk import row 17","0.00"
01/01/2026,"-18.00","Bulk import row 18","0.00"
01/01/2026,"-19.00","Bulk import row 19","0.00"
01/01/2026,"-20.00","Bulk import row 20","0.00"
01/01/2026,"-21.00","Bulk import row 21","0.00"
01/01/2026,"-22.00","Bulk import row 22","0.00"
01/01/2026,"-23.00","Bulk import row 23","0.00"
01/01/2026,"-24.00","Bulk import row 24","0.00"
01/01/2026,"-25.00","Bulk import row 25","0.00"
01/01/2026,"-26.00","Bulk import row 26","0.00"
01/01/2026,"-27.00","Bulk import row 27","0.00"
01/01/2026,"-28.00","Bulk import row 28","0.00"
01/01/2026,"-29.00","Bulk import row 29","0.00"
01/02/2026,"-30.00","Bulk import row 30","0.00"
01/02/2026,"-31.00","Bulk import row 31","0.00"
01/02/2026,"-32.00","Bulk import row 32","0.00"
01/02/2026,"-33.00","Bulk import row 33","0.00"
01/02/2026,"-34.00","Bulk import row 34","0.00"
01/02/2026,"-35.00","Bulk import row 35","0.00"
01/02/2026,"-36.00","Bulk import row 36","0.00"
01/02/2026,"-37.00","Bulk import row 37","0.00"
01/02/2026,"-38.00","Bulk import row 38","0.00"
01/02/2026,"-39.00","Bulk import row 39","0.00"
01/02/2026,"-40.00","Bulk import row 40","0.00"
01/02/2026,"-41.00","Bulk import row 41","0.00"
01/02/2026,"-42.00","Bulk import row 42","0.00"
01/02/2026,"-43.00","Bulk import row 43","0.00"
01/02/2026,"-44.00","Bulk import row 44","0.00"
01/02/2026,"-45.00","Bulk import row 45","0.00"
01/02/2026,"-46.00","Bulk import row 46","0.00"
01/02/2026,"-47.00","Bulk import row 47","0.00"
01/02/2026,"-48.00","Bulk import row 48","0.00"
01/02/2026,"-49.00","Bulk import row 49","0.00"
01/02/2026,"-50.00","Bulk import row 50","0.00"
01/02/2026,"-51.00","Bulk import row 51","0.00"
01/02/2026,"-52.00","Bulk import row 52","0.00"
01/02/2026,"-53.00","Bulk import row 53","0.00"
01/02/2026,"-54.00","Bulk import row 54","0.00"
01/02/2026,"-55.00","Bulk import row 55","0.00"
01/02/2026,"-56.00","Bulk import row 56","0.00"
01/02/2026,"-57.00","Bulk import row 57","0.00"
01/02/2026,"-58.00","Bulk import row 58","0.00"
01/02/2026,"-59.00","Bulk import row 59","0.00"
01/03/2026,"-60.00","Bulk import row 60","0.00"
01/03/2026,"-61.00","Bulk import row 61","0.00"
01/03/2026,"-62.00","Bulk import row 62","0.00"
01/03/2026,"-63.00","Bulk import row 63","0.00"
01/03/2026,"-64.00","Bulk import row 64","0.00"
01/03/2026,"-65.00","Bulk import row 65","0.00"
01/03/2026,"-66.00","Bulk import row 66","0.00"
01/03/2026,"-67.00","Bulk import row 67","0.00"
